vertiport,vertiport_class,vertiport_lat_deg,vertiport_lon_deg,vertiport_angle_deg,s_id,node_id,semantic_id,display_id,node_type,source_layout_marker,local_x_cm,local_y_cm,local_z_cm,actor_x_cm,actor_y_cm,actor_z_cm,marker_x_cm,marker_y_cm,marker_z_cm,label_u_x_cm,label_u_y_cm,label_u_z_cm,airsim_x_m,airsim_y_m,airsim_z_m,lla_lon_deg,lla_lat_deg,lla_height_m,unreal_label_text,source_component_marker,source_component_label,trace_status,extraction_source
잠실,port,37.514368000000,127.069068000000,83.000000,S03,3,G6,S03 G6,gate,Cube3,7285.000000,-2050.000000,160.000000,805125.737289,578216.861438,-29770.506159,808055.229898,585195.035254,-29620.545345,808055,585195,-29621,8080.552299,5851.950353,-296.205453,127.069398566079,37.513739026777,61.600452,3 G6 | U +808055 / +585195 / -29621,GroundNodeMarker_2,GroundNodeLabel_2,NO_HIT_COMMANDLET_FALLBACK_H60,UnrealEditor spawned ADTAMVisualizationVertiportPreviewActor -> GroundNodeMarker.get_world_location()
잠실,port,37.514368000000,127.069068000000,83.000000,S04,4,G5,S04 G5,gate,Cube4,8970.000000,-2050.000000,160.000000,805125.737289,578216.861438,-29770.506159,808262.198243,586867.275049,-29622.327036,808262,586867,-29622,8082.621982,5868.672750,-296.223270,127.069421792336,37.513588340627,61.600668,4 G5 | U +808262 / +586867 / -29622,GroundNodeMarker_3,GroundNodeLabel_3,NO_HIT_COMMANDLET_FALLBACK_H60,UnrealEditor spawned ADTAMVisualizationVertiportPreviewActor -> GroundNodeMarker.get_world_location()
잠실,port,37.514368000000,127.069068000000,83.000000,S05,5,,S05,taxi,Cube5,3900.000000,-805.000000,160.000000,805125.737289,578216.861438,-29770.506159,806403.879220,581988.593931,-29615.547437,806404,581989,-29616,8064.038792,5819.885939,-296.155474,127.069212134562,37.514028070166,61.600126,5 | U +806404 / +581989 / -29616,GroundNodeMarker_4,GroundNodeLabel_4,NO_HIT_COMMANDLET_FALLBACK_H60,UnrealEditor spawned ADTAMVisualizationVertiportPreviewActor -> GroundNodeMarker.get_world_location()
잠실,port,37.514368000000,127.069068000000,83.000000,S06,6,,S06,taxi,Cube6,5600.000000,-805.000000,160.000000,805125.737289,578216.861438,-29770.506159,806612.690013,583675.720133,-29617.344988,806613,583676,-29617,8066.126900,5836.757201,-296.173450,127.069235568049,37.513876042640,61.600253,6 | U +806613 / +583676 / -29617,GroundNodeMarker_5,GroundNodeLabel_5,NO_HIT_COMMANDLET_FALLBACK_H60,UnrealEditor spawned ADTAMVisualizationVertiportPreviewActor -> GroundNodeMarker.get_world_location()
잠실,port,37.514368000000,127.069068000000,83.000000,S07,7,,S07,taxi,Cube7,7285.000000,-805.000000,160.000000,805125.737289,578216.861438,-29770.506159,806819.658358,585347.959928,-29619.126679,806820,585348,-29619,8068.196584,5853.479599,-296.191267,127.069258794677,37.513725356525,61.600424,7 | U +806820 / +585348 / -29619,GroundNodeMarker_6,GroundNodeLabel_6,NO_HIT_COMMANDLET_FALLBACK_H60,UnrealEditor spawned ADTAMVisualizationVertiportPreviewActor -> GroundNodeMarker.get_world_location()
잠실,port,37.514368000000,127.069068000000,83.000000,S08,8,,S08,taxi,Cube8,8970.000000,-805.000000,160.000000,805125.737289,578216.861438,-29770.506159,807026.626703,587020.199722,-29620.908369,807027,587020,-29621,8070.266267,5870.201997,-296.209084,127.069282021211,37.513574670401,61.600640,8 | U +807027 / +587020 / -29621,GroundNodeMarker_7,GroundNodeLabel_7,NO_HIT_COMMANDLET_FALLBACK_H60,UnrealEditor spawned ADTAMVisualizationVertiportPreviewActor -> GroundNodeMarker.get_world_location()
잠실,port,37.514368000000,127.069068000000,83.000000,S09,9,,S09,taxi,Cube9,3900.000000,775.000000,160.000000,805125.737289,578216.861438,-29770.506159,804835.844654,582182.667011,-29613.747041,804836,582183,-29614,8048.358447,5821.826670,-296.137470,127.069034753355,37.514010721264,61.600126,9 | U +804836 / +582183 / -29614,GroundNodeMarker_8,GroundNodeLabel_8,NO_HIT_COMMANDLET_FALLBACK_H60,UnrealEditor spawned ADTAMVisualizationVertiportPreviewActor -> GroundNodeMarker.get_world_location()
잠실,port,37.514368000000,127.069068000000,83.000000,S10,10,,S10,taxi,Cube10,5600.000000,775.000000,160.000000,805125.737289,578216.861438,-29770.506159,805044.655447,583869.793213,-29615.544592,805045,583870,-29616,8050.446554,5838.697932,-296.155446,127.069058187197,37.513858693773,61.600253,10 | U +805045 / +583870 / -29616,GroundNodeMarker_9,GroundNodeLabel_9,NO_HIT_COMMANDLET_FALLBACK_H60,UnrealEditor spawned ADTAMVisualizationVertiportPreviewActor -> GroundNodeMarker.get_world_location()
잠실,port,37.514368000000,127.069068000000,83.000000,S11,11,,S11,taxi,Cube11,7285.000000,775.000000,160.000000,805125.737289,578216.861438,-29770.506159,805251.623792,585542.033007,-29617.326283,805252,585542,-29617,8052.516238,5855.420330,-296.173263,127.069081414175,37.513708007692,61.600424,11 | U +805252 / +585542 / -29617,GroundNodeMarker_10,GroundNodeLabel_10,NO_HIT_COMMANDLET_FALLBACK_H60,UnrealEditor spawned ADTAMVisualizationVertiportPreviewActor -> GroundNodeMarker.get_world_location()
잠실,port,37.514368000000,127.069068000000,83.000000,S12,12,,S12,taxi,Cube12,8970.000000,775.000000,160.000000,805125.737289,578216.861438,-29770.506159,805458.592137,587214.272801,-29619.107973,805459,587214,-29619,8054.585921,5872.142728,-296.191080,127.069104641061,37.513557321603,61.600640,12 | U +805459 / +587214 / -29619,GroundNodeMarker_11,GroundNodeLabel_11,NO_HIT_COMMANDLET_FALLBACK_H60,UnrealEditor spawned ADTAMVisualizationVertiportPreviewActor -> GroundNodeMarker.get_world_location()
