sim_time,gid,Lmax_1s,Lmax_w
6:36:50,4547,65.3,75.3
6:36:50,4956,65.7,75.7
6:36:50,5844,65.6,75.6
6:37:00,6157,65.3,75.3
6:37:00,4744,65.2,75.2
6:37:00,5341,60.2,70.2
6:37:00,4650,64.8,74.8
6:37:00,6446,65.1,75.1
6:37:00,5854,65.8,75.8
6:37:00,6053,59.6,69.6
6:37:00,6345,59.5,69.5
6:37:00,6445,60.1,70.1
6:37:00,6244,59.5,69.5
6:37:00,5951,59.7,69.7
6:37:00,4951,60,70
6:37:00,6247,59.1,69.1
6:37:00,4051,59.2,69.2
6:37:00,4546,59.8,69.8
6:37:00,5343,60.4,70.4
6:37:00,5151,66,76
6:37:00,4548,65.3,75.3
6:37:00,3850,65.1,75.1
6:37:00,6650,65.3,75.3
6:37:00,4956,65.8,75.8
6:37:00,5844,65.7,75.7
6:37:10,6157,66,76
6:37:10,4744,65.4,75.4
6:37:10,5342,60.8,70.8
6:37:10,4550,64.8,74.8
6:37:10,6446,65.4,75.4
6:37:10,5854,66,76
6:37:10,5952,59.5,69.5
6:37:10,6345,59.5,69.5
6:37:10,6244,59.6,69.6
6:37:10,4850,59.3,69.3
6:37:10,6147,59.1,69.1
6:37:10,4052,59.2,69.2
6:37:10,4446,59.3,69.3
6:37:10,5242,60.7,70.7
6:37:10,5151,66,76
6:37:10,4547,59.4,69.4
6:37:10,3850,65.1,75.1
6:37:10,6650,65.1,75.1
6:37:10,4548,65.2,75.2
6:37:10,4956,65.9,75.9
6:37:10,5844,65.7,75.7
6:37:10,6246,66,76
6:37:10,6649,66,76
6:37:19,6257,65.3,75.3
6:37:19,4743,65.5,75.5
6:37:19,5242,61.9,71.9
6:37:19,4551,64.8,74.8
6:37:19,6445,65.3,75.3
6:37:19,5855,66,76
6:37:19,5952,59.6,69.6
6:37:19,6244,59.4,69.4
6:37:19,6345,59.5,69.5
6:37:19,6143,59.7,69.7
6:37:19,4750,59.3,69.3
6:37:19,6147,59.1,69.1
6:37:19,4152,59.2,69.2
6:37:19,4447,59.5,69.5
6:37:19,5151,63.6,73.6
6:37:19,4547,59.3,69.3
6:37:19,3950,65.1,75.1
6:37:19,6650,64.6,74.6
6:37:19,4548,65.1,75.1
6:37:19,4957,66,76
6:37:19,5844,65.7,75.7
6:37:19,6246,65.9,75.9
6:37:19,6649,66,76
6:37:19,5042,65.9,75.9
6:37:28,6258,65.5,75.5
6:37:28,4742,65.3,75.3
6:37:28,5242,61.1,71.1
6:37:28,4551,64.8,74.8
6:37:28,6345,65.2,75.2
6:37:28,5856,66,76
6:37:28,5951,59.7,69.7
6:37:28,6244,59.6,69.6
6:37:28,6245,59.4,69.4
6:37:28,6143,59.8,69.8
6:37:28,6053,59.7,69.7
6:37:28,4750,59.3,69.3
6:37:28,6047,59.1,69.1
6:37:28,4252,59.3,69.3
6:37:28,4347,59.4,69.4
6:37:28,5143,61,71
6:37:28,5151,61.4,71.4
6:37:28,4647,59.4,69.4
6:37:28,3949,65.2,75.2
6:37:28,6650,59.1,69.1
6:37:28,4548,60.5,70.5
6:37:28,4957,66,76
6:37:28,5844,65.7,75.7
6:37:28,6246,65.8,75.8
6:37:28,6649,65.3,75.3
6:37:28,5042,66,76
6:37:40,6358,65.6,75.6
6:37:40,4742,65.6,75.6
6:37:40,5143,62.4,72.4
6:37:40,4552,65.8,75.8
6:37:40,6245,65.2,75.2
6:37:40,5856,65.8,75.8
6:37:40,5950,59.7,69.7
6:37:40,6243,59.7,69.7
6:37:40,6244,59.6,69.6
6:37:40,6042,60.2,70.2
6:37:40,5953,59.6,69.6
6:37:40,4650,59,69
6:37:40,5948,59.1,69.1
6:37:40,4252,59.5,69.5
6:37:40,4242,59.9,69.9
6:37:40,4448,59.7,69.7
6:37:40,5150,61.1,71.1
6:37:40,4646,59.3,69.3
6:37:40,3949,59.4,69.4
6:37:40,6550,59.3,69.3
6:37:40,4548,59.4,69.4
6:37:40,4957,65.9,75.9
6:37:40,5844,65.5,75.5
6:37:40,6246,65.7,75.7
6:37:40,6649,65.3,75.3
6:37:40,5042,65.8,75.8
6:37:40,4543,66,76
6:37:40,4447,66,76
6:37:50,6457,65.6,75.6
6:37:50,4741,65.6,75.6
6:37:50,5043,62.1,72.1
6:37:50,4552,66,76
6:37:50,6244,65.2,75.2
6:37:50,5857,65.7,75.7
6:37:50,5950,59.4,69.4
6:37:50,6243,59.8,69.8
6:37:50,6042,59.7,69.7
6:37:50,5953,59.7,69.7
6:37:50,4650,59,69
6:37:50,5948,59.3,69.3
6:37:50,4352,59,69
6:37:50,4242,59.7,69.7
6:37:50,4448,59.5,69.5
6:37:50,5250,59.8,69.8
6:37:50,4746,59.6,69.6
6:37:50,3949,59.5,69.5
6:37:50,6550,61.8,71.8
6:37:50,4547,59.5,69.5
6:37:50,4957,66,76
6:37:50,5843,65.4,75.4
6:37:50,6246,65.5,75.5
6:37:50,6649,65.2,75.2
6:37:50,5042,65.7,75.7
6:37:50,4543,65.5,75.5
6:37:50,4447,66,76
6:37:59,6457,65.8,75.8
6:37:59,4641,65.4,75.4
6:37:59,5044,62.7,72.7
6:37:59,4553,65.8,75.8
6:37:59,6244,65.4,75.4
6:37:59,5857,65.9,75.9
6:37:59,5849,59.5,69.5
6:37:59,6242,62.1,72.1
6:37:59,6243,59.9,69.9
6:37:59,5942,60,70
6:37:59,5853,59.5,69.5
6:37:59,4749,59.4,69.4
6:37:59,5848,59.6,69.6
6:37:59,4452,59.6,69.6
6:37:59,4243,61.4,71.4
6:37:59,4548,59.8,69.8
6:37:59,5250,61,71
6:37:59,4846,59.7,69.7
6:37:59,4050,59.6,69.6
6:37:59,6550,60.6,70.6
6:37:59,4547,59.3,69.3
6:37:59,5058,61.1,71.1
6:37:59,5943,65.6,75.6
6:37:59,6245,65.6,75.6
6:37:59,6649,65.3,75.3
6:37:59,5042,65.8,75.8
6:37:59,4543,65.1,75.1
6:37:59,4447,65.3,75.3
6:37:59,5844,66,76
6:38:09,6557,65.5,75.5
6:38:09,4641,65.3,75.3
6:38:09,4944,60.1,70.1
6:38:09,4653,65.7,75.7
6:38:09,6243,65.7,75.7
6:38:09,5957,66,76
6:38:09,5848,59.1,69.1
6:38:09,6142,60.2,70.2
6:38:09,6242,61.2,71.2
6:38:09,5841,59.6,69.6
6:38:09,5753,59.7,69.7
6:38:09,4748,59.5,69.5
6:38:09,5847,59.9,69.9
6:38:09,4453,61.3,71.3
6:38:09,4243,61.1,71.1
6:38:09,4549,59.5,69.5
6:38:09,5349,60.2,70.2
6:38:09,4845,60.4,70.4
6:38:09,4050,59.2,69.2
6:38:09,6549,59.7,69.7
6:38:09,4547,59.4,69.4
6:38:09,5057,65.2,75.2
6:38:09,5943,65.8,75.8
6:38:09,6245,65.3,75.3
6:38:09,6649,65.2,75.2
6:38:09,5042,65.9,75.9
6:38:09,4543,65.3,75.3
6:38:09,4447,65.5,75.5
6:38:09,5844,66,76
6:38:19,6556,65.7,75.7
6:38:19,4540,65.2,75.2
6:38:19,4945,60.3,70.3
6:38:19,4652,65.9,75.9
