time,tsec,edge_id,lane,density
06:35:00,23700,12,R-1000,10.0
06:35:00,23700,12,L-2000,0.0
06:35:00,23700,12,R-2000,0.0
06:35:00,23700,14,L-1000,3.3333333333333335
06:35:00,23700,14,R-1000,3.3333333333333335
06:35:00,23700,14,L-2000,3.3333333333333335
06:35:00,23700,14,R-2000,3.3333333333333335
06:35:00,23700,33,L-1000,3.3333333333333335
06:35:00,23700,33,R-1000,3.3333333333333335
06:35:00,23700,33,L-2000,0.0
06:35:00,23700,33,R-2000,0.0
06:35:00,23700,35,L-1000,0.0
06:35:00,23700,35,R-1000,0.0
06:35:00,23700,35,L-2000,3.3333333333333335
06:35:00,23700,35,R-2000,3.3333333333333335
06:35:00,23700,38,L-1000,0.0
06:35:00,23700,38,R-1000,0.0
06:35:00,23700,38,L-2000,3.3333333333333335
06:35:00,23700,38,R-2000,3.3333333333333335
06:35:10,23710,1,L-1000,0.0
06:35:10,23710,1,R-1000,0.0
06:35:10,23710,1,L-2000,3.3333333333333335
06:35:10,23710,1,R-2000,3.3333333333333335
06:35:10,23710,3,L-1000,0.0
06:35:10,23710,3,R-1000,0.0
06:35:10,23710,3,L-2000,3.3333333333333335
06:35:10,23710,3,R-2000,3.3333333333333335
06:35:10,23710,7,L-1000,0.0
06:35:10,23710,7,R-1000,0.0
06:35:10,23710,7,L-2000,3.3333333333333335
06:35:10,23710,7,R-2000,3.3333333333333335
06:35:10,23710,8,L-1000,0.0
06:35:10,23710,8,R-1000,0.0
06:35:10,23710,8,L-2000,3.3333333333333335
06:35:10,23710,8,R-2000,3.3333333333333335
06:35:10,23710,9,L-1000,10.0
06:35:10,23710,9,R-1000,10.0
06:35:10,23710,9,L-2000,0.0
06:35:10,23710,9,R-2000,0.0
06:35:10,23710,10,L-1000,10.0
06:35:10,23710,10,R-1000,10.0
06:35:10,23710,10,L-2000,0.0
06:35:10,23710,10,R-2000,0.0
06:35:10,23710,11,L-1000,3.3333333333333335
06:35:10,23710,11,R-1000,3.3333333333333335
06:35:10,23710,11,L-2000,0.0
06:35:10,23710,11,R-2000,0.0
06:35:10,23710,12,L-1000,10.0
06:35:10,23710,12,R-1000,10.0
06:35:10,23710,12,L-2000,0.0
06:35:10,23710,12,R-2000,0.0
06:35:10,23710,14,L-1000,3.3333333333333335
06:35:10,23710,14,R-1000,3.3333333333333335
06:35:10,23710,14,L-2000,6.666666666666667
06:35:10,23710,14,R-2000,6.666666666666667
06:35:10,23710,35,L-1000,0.0
06:35:10,23710,35,R-1000,0.0
06:35:10,23710,35,L-2000,3.3333333333333335
06:35:10,23710,35,R-2000,3.3333333333333335
06:35:20,23720,1,L-1000,0.0
06:35:20,23720,1,R-1000,0.0
06:35:20,23720,1,L-2000,3.3333333333333335
06:35:20,23720,1,R-2000,3.3333333333333335
06:35:20,23720,3,L-1000,0.0
06:35:20,23720,3,R-1000,0.0
06:35:20,23720,3,L-2000,3.3333333333333335
06:35:20,23720,3,R-2000,3.3333333333333335
06:35:20,23720,8,L-1000,0.0
06:35:20,23720,8,R-1000,0.0
06:35:20,23720,8,L-2000,6.666666666666667
06:35:20,23720,8,R-2000,6.666666666666667
06:35:20,23720,9,L-1000,3.3333333333333335
06:35:20,23720,9,R-1000,3.3333333333333335
06:35:20,23720,9,L-2000,0.0
06:35:20,23720,9,R-2000,0.0
06:35:20,23720,10,L-1000,10.0
06:35:20,23720,10,R-1000,10.0
06:35:20,23720,10,L-2000,0.0
06:35:20,23720,10,R-2000,0.0
06:35:20,23720,11,L-1000,3.3333333333333335
06:35:20,23720,11,R-1000,3.3333333333333335
06:35:20,23720,11,L-2000,0.0
06:35:20,23720,11,R-2000,0.0
06:35:20,23720,12,L-1000,10.0
06:35:20,23720,12,R-1000,10.0
06:35:20,23720,12,L-2000,0.0
06:35:20,23720,12,R-2000,0.0
06:35:20,23720,14,L-1000,0.0
06:35:20,23720,14,R-1000,0.0
06:35:20,23720,14,L-2000,6.666666666666667
06:35:20,23720,14,R-2000,6.666666666666667
06:35:20,23720,15,L-1000,3.3333333333333335
06:35:20,23720,15,R-1000,3.3333333333333335
06:35:20,23720,15,L-2000,0.0
06:35:20,23720,15,R-2000,0.0
06:35:20,23720,23,L-1000,6.666666666666667
06:35:20,23720,23,R-1000,6.666666666666667
06:35:20,23720,23,L-2000,0.0
06:35:20,23720,23,R-2000,0.0
06:35:20,23720,32,L-1000,3.3333333333333335
06:35:20,23720,32,R-1000,3.3333333333333335
06:35:20,23720,32,L-2000,0.0
06:35:20,23720,32,R-2000,0.0
06:35:20,23720,35,L-1000,0.0
06:35:20,23720,35,R-1000,0.0
06:35:20,23720,35,L-2000,3.3333333333333335
06:35:20,23720,35,R-2000,3.3333333333333335
06:35:30,23730,1,L-1000,0.0
06:35:30,23730,1,R-1000,0.0
06:35:30,23730,1,L-2000,4.0816326530612255
06:35:30,23730,1,R-2000,4.0816326530612255
06:35:30,23730,3,L-1000,0.0
06:35:30,23730,3,R-1000,0.0
06:35:30,23730,3,L-2000,4.0816326530612255
06:35:30,23730,3,R-2000,4.0816326530612255
06:35:30,23730,8,L-1000,0.0
06:35:30,23730,8,R-1000,0.0
06:35:30,23730,8,L-2000,8.163265306122451
06:35:30,23730,8,R-2000,8.163265306122451
06:35:30,23730,9,L-1000,4.0816326530612255
06:35:30,23730,9,R-1000,4.0816326530612255
06:35:30,23730,9,L-2000,0.0
06:35:30,23730,9,R-2000,0.0
06:35:30,23730,10,L-1000,4.0816326530612255
06:35:30,23730,10,R-1000,4.0816326530612255
06:35:30,23730,10,L-2000,0.0
06:35:30,23730,10,R-2000,0.0
06:35:30,23730,12,L-1000,10.0
06:35:30,23730,12,R-1000,10.0
06:35:30,23730,12,L-2000,0.0
06:35:30,23730,12,R-2000,0.0
06:35:30,23730,14,L-1000,0.0
06:35:30,23730,14,R-1000,0.0
06:35:30,23730,14,L-2000,4.0816326530612255
06:35:30,23730,14,R-2000,4.0816326530612255
06:35:30,23730,15,L-1000,4.0816326530612255
06:35:30,23730,15,R-1000,4.0816326530612255
06:35:30,23730,15,L-2000,0.0
06:35:30,23730,15,R-2000,0.0
06:35:30,23730,17,L-1000,0.0
06:35:30,23730,17,R-1000,0.0
06:35:30,23730,17,L-2000,4.0816326530612255
06:35:30,23730,17,R-2000,4.0816326530612255
06:35:30,23730,18,L-1000,4.0816326530612255
06:35:30,23730,18,R-1000,4.0816326530612255
06:35:30,23730,18,L-2000,0.0
06:35:30,23730,18,R-2000,0.0
06:35:30,23730,23,L-1000,8.163265306122451
06:35:30,23730,23,R-1000,8.163265306122451
06:35:30,23730,23,L-2000,0.0
06:35:30,23730,23,R-2000,0.0
06:35:30,23730,32,L-1000,4.0816326530612255
06:35:30,23730,32,R-1000,4.0816326530612255
06:35:30,23730,32,L-2000,0.0
