hour,hour_label,vertiport_id,vertiport,requested,processed,unserved,processing_rate,flight_count,avg_load_factor,avg_gate_to_gate_sec,avg_departure_wait_sec,avg_arrival_wait_sec
19,19:00,마곡,마곡,215,110,105,0.5116,23,1,2752.1399999999994,1460.8260869565217,125.99749999999999
19,19:00,망우,망우,123,64,59,0.5203,11,1,1569.0245454545454,39.18333333333333,263.58
19,19:00,목동,목동,210,108,102,0.5143,24,1,2014.7487500000004,406.78333333333336,204.24833333333333
19,19:00,미아,미아,123,50,73,0.4065,10,1,1647.872,65.61333333333333,364
19,19:00,봉천,봉천,110,32,78,0.2909,5,1,1915.8759999999997,0,361.06
19,19:00,사당,사당,116,42,74,0.3621,8,1,1696.61875,29,274.0025
19,19:00,상암,상암,78,38,40,0.4872,8,1,1689.97875,56.59,209.0566666666667
19,19:00,성수,성수,122,44,78,0.3607,11,1,1531.9490909090907,36.14000000000001,127.8075
19,19:00,수서,수서,171,86,85,0.5029,14,1,1518.06,60.067142857142855,106.57199999999997
19,19:00,여의도,여의도,94,46,48,0.4894,11,1,1633.4190909090905,78.3625,223.62333333333336
19,19:00,연신내,연신내,122,50,72,0.4098,8,1,1845.88,70,231.362
19,19:00,용산,용산,52,18,34,0.3462,3,1,1691.1733333333334,0,409
19,19:00,잠실,잠실,148,28,120,0.1892,7,1,1680.6357142857144,65.68,158.298
19,19:00,천호,천호,235,90,145,0.383,17,1,2941.1147058823526,1632.389411764706,177.338
20,20:00,가산,가산,154,70,84,0.4545,13,1,1584.3469230769228,59.97,281.7033333333334
20,20:00,강남,강남,242,82,160,0.3388,15,1,1674.841333333333,162.61846153846156,203.5633333333333
20,20:00,광화문,광화문,123,64,59,0.5203,13,1,1589.5846153846155,68.13666666666667,167.53000000000003
20,20:00,마곡,마곡,170,94,76,0.5529,19,1,2929.9683333333332,1565.5263157894738,167.465
20,20:00,망우,망우,116,24,92,0.2069,4,1,1469.4724999999999,0,22.62
20,20:00,목동,목동,215,92,123,0.4279,19,1,1999.206315789474,553.542105263158,113.34571428571428
20,20:00,미아,미아,106,48,58,0.4528,10,1,1660.7269999999996,60,122.41333333333334
20,20:00,봉천,봉천,92,38,54,0.413,9,1,1588.4355555555555,78.738,190.11
20,20:00,사당,사당,105,38,67,0.3619,7,1,1441.1571428571428,72.36,175.89999999999998
20,20:00,상암,상암,67,30,37,0.4478,5,1,1634.764,63.235,183.305
20,20:00,성수,성수,119,68,51,0.5714,14,1,1571.517857142857,56,105.00125
20,20:00,수서,수서,146,50,96,0.3425,14,1,1709.4057142857143,127.17750000000001,149.92333333333332
20,20:00,여의도,여의도,97,52,45,0.5361,8,1,1661.00625,69.60333333333334,265.12
20,20:00,연신내,연신내,104,38,66,0.3654,8,1,1545.94,93.33333333333333,108.17999999999999
20,20:00,용산,용산,44,0,44,0,0,0,0,0,0
20,20:00,잠실,잠실,144,48,96,0.3333,8,1,1599.1212500000001,70,170.80999999999997
20,20:00,천호,천호,205,110,95,0.5366,22,1,2957.0295454545453,1627.6354545454546,113.91000000000003
21,21:00,가산,가산,72,26,46,0.3611,4,1,1550.1825000000001,0,0
21,21:00,강남,강남,103,72,31,0.699,11,1,1530.14,93.68727272727273,300.3066666666667
21,21:00,광화문,광화문,50,26,24,0.52,5,1,1488.34,84.75,122.4833333333333
21,21:00,마곡,마곡,87,57,30,0.6552,11,0.9886363636363636,2971.77,1507.090909090909,0
21,21:00,망우,망우,47,30,17,0.6383,9,1,1582.717142857143,102.415,91.08999999999999
21,21:00,목동,목동,96,50,46,0.5208,10,1,1853.8175000000003,437.4999999999999,16.94
21,21:00,미아,미아,43,17,26,0.3953,4,0.895825,1568.7,49.69,27.88
21,21:00,봉천,봉천,45,10,35,0.2222,2,1,1419.63,0,0
21,21:00,사당,사당,54,6,48,0.1111,3,1,1370.1399999999999,70,0
21,21:00,상암,상암,33,10,23,0.303,3,1,1543.095,0,0
21,21:00,성수,성수,50,18,32,0.36,4,1,1520.3566666666666,71.5,67.35
21,21:00,수서,수서,56,14,42,0.25,2,1,1532.305,124.91499999999999,0
21,21:00,여의도,여의도,54,14,40,0.2593,2,1,1404.63,0,55.41
21,21:00,연신내,연신내,46,27,19,0.587,6,0.9375,1597.6683333333333,90,40.32333333333334
21,21:00,용산,용산,13,6,7,0.4615,1,1,0,0,0
21,21:00,잠실,잠실,55,35,20,0.6364,7,0.9464285714285714,1599.24,78.4125,170.89
21,21:00,천호,천호,98,36,62,0.3673,9,1,2909.17,1647.1911111111112,0
