sim_time,reg,phase,lat,lon,alt_m,x,y,z,lane
06:31:07.750,10-1,B,37.610344,126.923622,0.21140554827246305,-4823.838418104582,4861.901000000039,0.21140554827246305,-
06:31:07.750,7-1,A,37.48258315545154,126.94354928487516,0.0,-3065.510986666024,-9360.436215133863,0.0,-
06:31:07.750,8-1,A,37.47548078705087,126.98347079846164,0.0,457.0508115619408,-10151.071865497199,0.0,-
06:31:07.750,17-1,A,37.48826424694332,127.10001645510754,0.0,10740.710947867763,-8728.01711027006,0.0,-
06:31:07.750,16-1,A,37.597044666882155,127.08599369108778,0.0,9503.38178862734,3381.419237321905,0.0,-
06:31:07.750,14-1,A,37.48832325202065,126.87868090587462,0.0,-8789.313850134839,-8721.448665061118,0.0,-
06:31:07.782,12-1,C,37.56750364782525,126.96677412165526,137.16,-1016.2168727429464,92.91299590709755,137.16,-
06:31:07.782,13-1,C,37.49465782869657,127.02491293322612,137.16,4113.7879350721905,-8016.283589497434,137.16,-
06:31:07.782,11-1,C,37.544873,127.118611,132.55733108335502,12381.441160957715,-2426.3307199994233,132.55733108335502,-
06:31:07.782,2-1,C,37.514055,127.068923,70.40516935455653,7997.1121386822315,-5856.99047999982,70.40516935455653,-
06:31:07.782,15-1,C,37.562717,126.792646,13.129777654237195,-16380.791364922143,-439.93663999979725,13.129777654237195,-
06:31:07.782,10-1,B,37.610344,126.923622,0.3754055482312957,-4823.838418104582,4861.901000000039,0.3754055482312957,-
06:31:07.782,7-1,A,37.482582967981585,126.94355095127479,0.0,-3065.3639482612753,-9360.457084289616,0.0,-
06:31:07.782,8-1,A,37.475480553295945,126.98347245552429,0.0,457.19702609811793,-10151.097887094831,0.0,-
06:31:07.782,17-1,A,37.48826474563188,127.10001576328526,0.0,10740.649903419402,-8727.961596258632,0.0,-
06:31:07.782,16-1,A,37.59704478955641,127.08599423016341,0.0,9503.429355139886,3381.4328934204314,0.0,-
06:31:07.782,14-1,A,37.48832295576616,126.87868092539526,0.0,-8789.31212768817,-8721.481644111329,0.0,-
06:31:08.782,12-1,C,37.5674666894508,126.96652973024221,137.16,-1037.781281956555,88.79878966307875,137.16,-
06:31:08.782,13-1,C,37.4946218415579,127.02498589945665,137.16,4120.226269522107,-8020.289677774519,137.16,-
06:31:08.782,11-1,C,37.54493801108967,127.11861398663088,137.16,12381.704692845802,-2419.093685497385,137.16,-
06:31:08.782,2-1,C,37.514055,127.068923,79.15666935454047,7997.1121386822315,-5856.99047999982,79.15666935454047,-
06:31:08.782,15-1,C,37.562717,126.792646,17.240277654225146,-16380.791364922143,-439.93663999979725,17.240277654225146,-
06:31:08.782,10-1,C,37.610344,126.923622,5.000404548231299,-4823.838418104582,4861.901000000039,5.000404548231299,-
06:31:08.782,7-1,B,37.482577,126.943604,0.4132191363687845,-3060.6830783223845,-9361.121439999808,0.4132191363687845,-
06:31:08.782,8-1,B,37.475473,126.983526,0.3421487502557668,461.9216396636254,-10151.938719999609,0.3421487502557668,-
06:31:08.782,17-1,A,37.48828335156506,127.09998995158605,0.0,10738.372351859289,-8725.89038377774,0.0,-
06:31:08.782,16-1,A,37.59704986256141,127.08601652280508,0.0,9505.396394986928,3381.9976203368824,0.0,-
06:31:08.782,14-1,A,37.48830921237092,126.8786818309678,0.0,-8789.232222519315,-8723.01155886842,0.0,-
06:31:08.814,12-1,C,37.567465505920865,126.96652190401727,137.16,-1038.47184597982,88.66703911112671,137.16,-
06:31:08.814,13-1,C,37.49462068753961,127.0249882393027,137.16,4120.432730941025,-8020.418143090576,137.16,-
06:31:08.814,11-1,C,37.54494140905315,127.11861414273444,137.16,12381.718466983979,-2418.715424202525,137.16,-
06:31:08.814,2-1,C,37.514055,127.068923,79.4372293544694,7997.1121386822315,-5856.99047999982,79.4372293544694,-
06:31:08.814,15-1,C,37.562717,126.792646,17.372325654191485,-16380.791364922143,-439.93663999979725,17.372325654191485,-
06:31:08.814,10-1,C,37.610344,126.923622,5.147892548194403,-4823.838418104582,4861.901000000039,5.147892548194403,-
06:31:08.814,7-1,B,37.482577,126.943604,0.5772191363276171,-3060.6830783223845,-9361.121439999808,0.5772191363276171,-
